PAIR_ID,ANTS,antsRegistration,ANTSAffineOnly,antsRegistrationAffineOnly,ANTSWithOtherAffine
1010_3x1015_3,0.675187,0.712155,0.471716,0.495902,0.685776
1010_3x1017_3,0.71365,0.721436,0.5191,0.521885,0.715085
1010_3x1036_3,0.673219,0.688994,0.486341,0.487037,0.675089
1011_3x1000_3,0.693371,0.691497,0.521887,0.501531,0.691052
1011_3x1001_3,0.704736,0.717906,0.512849,0.514846,0.710207
1011_3x1002_3,0.687065,0.697844,0.512468,0.496196,0.686563
1011_3x1006_3,0.70686,0.717999,0.477511,0.495339,0.704456
1011_3x1007_3,0.698398,0.712279,0.508179,0.505186,0.698845
1011_3x1008_3,0.710315,0.713221,0.560782,0.555685,0.710134
1011_3x1009_3,0.710717,0.723425,0.558003,0.560838,0.710188
1011_3x1010_3,0.712863,0.726448,0.51987,0.514223,0.70773
1011_3x1012_3,0.730209,0.735094,0.517623,0.531632,0.729977
1011_3x1013_3,0.691791,0.707934,0.531289,0.523726,0.689457
1011_3x1014_3,0.696509,0.706154,0.529865,0.536127,0.690053
1011_3x1015_3,0.702409,0.721473,0.485005,0.539977,0.714363
1011_3x1017_3,0.703458,0.714521,0.508523,0.501273,0.712367
1011_3x1036_3,0.69495,0.701096,0.507296,0.505238,0.690321
1012_3x1000_3,0.71272,0.727706,0.506843,0.505594,0.7194
1012_3x1001_3,0.69868,0.710682,0.466775,0.434475,0.695823
1012_3x1002_3,0.690381,0.696928,0.495994,0.485794,0.690902
1012_3x1006_3,0.710632,0.724999,0.447369,0.418493,0.71067
1012_3x1007_3,0.691572,0.723696,0.482765,0.426684,0.684393
1012_3x1008_3,0.717457,0.725356,0.545454,0.50815,0.719243
1012_3x1009_3,0.704062,0.720063,0.524277,0.524074,0.70899
1012_3x1010_3,0.707735,0.718639,0.495404,0.487633,0.710135
1012_3x1011_3,0.718868,0.733527,0.525241,0.53011,0.722795
1012_3x1013_3,0.705089,0.713139,0.543655,0.52166,0.710316
1012_3x1014_3,0.695214,0.685239,0.529433,0.523621,0.668364
1012_3x1015_3,0.676517,0.706793,0.455673,0.471053,0.657466
1012_3x1017_3,0.699312,0.713949,0.413045,0.470352,0.705962
1012_3x1036_3,0.682482,0.706744,0.483492,0.5123,0.689047
1013_3x1000_3,0.713725,0.715068,0.539504,0.535906,0.703273
1013_3x1001_3,0.713659,0.713924,0.513645,0.491033,0.710346
1013_3x1002_3,0.694091,0.701873,0.560413,0.547411,0.696962
1013_3x1006_3,0.717898,0.725277,0.50446,0.493138,0.720196
1013_3x1007_3,0.675695,0.696126,0.473093,0.456422,0.670732
1013_3x1008_3,0.711488,0.725362,0.544494,0.551376,0.715476
1013_3x1009_3,0.705132,0.711701,0.52023,0.499946,0.70163
1013_3x1010_3,0.708165,0.718813,0.51882,0.516939,0.717065
1013_3x1011_3,0.691066,0.710982,0.531552,0.533206,0.698465
1013_3x1012_3,0.708582,0.711743,0.52743,0.535225,0.70882
1013_3x1014_3,0.718795,0.735165,0.522287,0.520076,0.716323
1013_3x1015_3,0.664226,0.698027,0.44975,0.502829,0.679185
1013_3x1017_3,0.714238,0.717445,0.501231,0.515854,0.717426
1013_3x1036_3,0.692177,0.698877,0.526494,0.521484,0.688166
1014_3x1000_3,0.688967,0.703756,0.489034,0.498958,0.68092
1014_3x1001_3,0.690507,0.706048,0.468709,0.491214,0.696935
1014_3x1002_3,0.672237,0.671361,0.501985,0.519343,0.672563
1014_3x1006_3,0.692327,0.699581,0.468163,0.446689,0.684229
1014_3x1007_3,0.668797,0.705698,0.454806,0.517645,0.680041
1014_3x1008_3,0.683387,0.699227,0.531273,0.520325,0.687376
1014_3x1009_3,0.699845,0.713468,0.517143,0.528747,0.70296
1014_3x1010_3,0.702426,0.711878,0.521383,0.505468,0.705231
1014_3x1011_3,0.681017,0.704412,0.535354,0.534886,0.681322
1014_3x1012_3,0.687266,0.692149,0.516658,0.511035,0.685922
1014_3x1013_3,0.710942,0.723669,0.541235,0.510724,0.710699
1014_3x1015_3,0.655934,0.678035,0.501631,0.522186,0.667385
1014_3x1017_3,0.680216,0.682884,0.474213,0.481117,0.676553
1014_3x1036_3,0.645438,0.673482,0.445394,0.465596,0.653522
1015_3x1000_3,0.665557,0.686401,0.436343,0.482693,0.676074
1015_3x1001_3,0.679316,0.69131,0.510095,0.484867,0.6865
1015_3x1002_3,0.686748,0.679145,0.521499,0.439393,0.676626
1015_3x1006_3,0.674196,0.697126,0.540536,0.516431,0.660162
1015_3x1007_3,0.704884,0.715495,0.529595,0.536184,0.706521
1015_3x1008_3,0.680269,0.710332,0.553091,0.549779,0.682885
1015_3x1009_3,0.703416,0.704515,0.500058,0.517967,0.694938
1015_3x1010_3,0.676,0.70807,0.497596,0.509826,0.692341
1015_3x1011_3,0.705465,0.70992,0.552048,0.530447,0.700443
1015_3x1012_3,0.655842,0.714541,0.415958,0.500304,0.691708
1015_3x1013_3,0.661454,0.689629,0.44818,0.486168,0.66956
1015_3x1014_3,0.615885,0.67339,0.430659,0.535594,0.652317
1015_3x1017_3,0.687851,0.694758,0.51555,0.506693,0.665697
1015_3x1036_3,0.70307,0.706057,0.484782,0.48492,0.70576
1017_3x1000_3,0.712558,0.722189,0.506358,0.504876,0.721731
1017_3x1001_3,0.699189,0.712429,0.512722,0.489606,0.70299
1017_3x1002_3,0.683676,0.69405,0.55615,0.561195,0.685024
1017_3x1006_3,0.698811,0.714838,0.518355,0.51157,0.708157
1017_3x1007_3,0.706332,0.694467,0.488023,0.445235,0.676475
1017_3x1008_3,0.711322,0.717258,0.535225,0.539943,0.716947
1017_3x1009_3,0.698861,0.690115,0.515426,0.489855,0.700114
1017_3x1010_3,0.698368,0.708605,0.514568,0.506065,0.696683
1017_3x1011_3,0.702243,0.709239,0.498754,0.498014,0.716878
1017_3x1012_3,0.689338,0.696821,0.450046,0.464115,0.692634
1017_3x1013_3,0.712411,0.715181,0.523477,0.511505,0.712155
1017_3x1014_3,0.691405,0.691656,0.470976,0.488606,0.68299
1017_3x1015_3,0.691618,0.700466,0.517306,0.520778,0.69638
1017_3x1036_3,0.669002,0.674336,0.423737,0.434333,0.678174
1036_3x1000_3,0.707786,0.688615,0.493113,0.489196,0.691485
1036_3x1001_3,0.690372,0.702952,0.483884,0.412934,0.696515
1036_3x1002_3,0.694043,0.692232,0.404412,0.397135,0.673478
1036_3x1006_3,0.692746,0.697933,0.441711,0.37463,0.690165
1036_3x1007_3,0.687897,0.710679,0.400949,0.483391,0.702806
1036_3x1008_3,0.720049,0.721791,0.524486,0.514693,0.721472
1036_3x1009_3,0.68556,0.696509,0.502129,0.463321,0.682574
1036_3x1010_3,0.68866,0.691832,0.491117,0.45037,0.692401
1036_3x1011_3,0.692546,0.708627,0.513053,0.49465,0.694881
1036_3x1012_3,0.693957,0.707803,0.505419,0.517933,0.698716
1036_3x1013_3,0.688832,0.703983,0.518154,0.504474,0.699854
1036_3x1014_3,0.676594,0.691689,0.452267,0.46111,0.680874
1036_3x1015_3,0.709247,0.707494,0.447557,0.421994,0.709574
1036_3x1017_3,0.675303,0.685215,0.384585,0.335512,0.67144
